NAME OF HOSPITAL	LOCATION
Rattanaburi Hospital	Surin
Samrong Thap Hospital	Surin
Sangkha Hospital	Surin
Sanom Hospital	Surin
SiKhoraphum Hospital	Surin
Surin Hospital	Surin
Tha Tum Hospital	Surin
Ban Tak Hospital	Tak
Fort Wachiraprakan Hospital	Tak
Mae Ramat Hospital	Tak
Mae Sot Hospital	Tak
Phop Phra Hospital	Tak
Sam Ngao Hospital	Tak
Somdet Phrachao Taksin Maharat Hospital	Tak
Tha Song Yang Hospital	Tak
Umphang Hospital	Tak
Huai Yot Hospital	Trang
Kantang Hospital	Trang
Na Yong Hospital	Trang
Palian Hospital	Trang
Ratsada Hospital	Trang
Sikao Hospital	Trang
Trang Hospital	Trang
Trang Regional Center of Tropical Dermatology	Trang
Wang Wiset Hospital	Trang
Yan Ta Khao Hospital	Trang
Bo Rai Hospital	Trat
Khao Saming Hospital	Trat
Khlong Yai Hospital	Trat
Ko Chang Hospital	Trat
Ko Kut Hospital	Trat
Laem Ngop Hospital	Trat
Trat Hospital	Trat
Buntharik Hospital	Ubon Ratchathani
Det Udom Crown Prince Hospital	Ubon Ratchathani
Don Mot Daeng Hospital	Ubon Ratchathani
Fort Sapphasitprasong Hospital	Ubon Ratchathani
Health Promotion Hospital, 7th Regional Health Promotion Center	Ubon Ratchathani
Khemarat Hospital	Ubon Ratchathani
Khong Chiam Hospital	Ubon Ratchathani
Khueang Nai Hospital	Ubon Ratchathani
Kut Khao Pun Hospital	Ubon Ratchathani
Muang Sam Sip Hospital	Ubon Ratchathani
Na Cha Luai Hospital	Ubon Ratchathani
Nam Yuen Hospital	Ubon Ratchathani
Phibun Mangsahan Hospital	Ubon Ratchathani
Pho Sai Hospital	Ubon Ratchathani
Prasrimahabhodi Psychiatric Hospital	Ubon Ratchathani
Prince Maha Vajiralongkorn 50th Birthday Hospital	Ubon Ratchathani
Royal Thai Air Force Wing 21 Hospital	Ubon Ratchathani
Samrong Hospital	Ubon Ratchathani
Sappasit Prasong Hospital	Ubon Ratchathani
Si Mueang Mai Hospital	Ubon Ratchathani
Sirihdhorn Hospital	Ubon Ratchathani
Tan Sum Hospital	Ubon Ratchathani
Thung Si Udom Hospital	Ubon Ratchathani
Trakan Phuet Phon Hospital	Ubon Ratchathani
Ubon Ratchathani Cancer Center	Ubon Ratchathani
Warin Chamrap Hospital	Ubon Ratchathani
Ban Dung Crown Prince Hospital	Udon Thani
Ban Phue Hospital	Udon Thani
Chai Wan Hospital	Udon Thani
Fort Prachaksilapakhom Hospital	Udon Thani
Huai Koeng Hospital	Udon Thani
Kumphawapi Hospital	Udon Thani
Kut Chap Hospital	Udon Thani
Na Yung Hospital	Udon Thani
Nam Som Hospital	Udon Thani
Non Sa-at Hospital	Udon Thani
Nong Han Hospital	Udon Thani
Nong Saeng Hospital	Udon Thani
Nong Wua So Hospital	Udon Thani
Phen Hospital	Udon Thani
Phibun Rak Hospital	Udon Thani
Royal Thai Air Force Wing 23 Hospital	Udon Thani
Sang Khom Hospital	Udon Thani
Si That Hospital	Udon Thani
Thung Fon Hospital	Udon Thani
Udon Thani Cancer Center	Udon Thani
Udon Thani Drug Dependence Treatment Center	Udon Thani
Udon Thani Hospital	Udon Thani
Wang Sam Mo Hospital	Udon Thani
Ban Rai Hospital	Uthai Thani
Huai Khot Hospital	Uthai Thani
Lan Sak Hospital	Uthai Thani
Nong Chang Hospital	Uthai Thani
Nong Kha Yang Hospital	Uthai Thani
Sawang Arom Hospital	Uthai Thani
Thap Than Hospital	Uthai Thani
Uthai Thani Hospital	Uthai Thani
Ban Khok Hospital	Uttaradit
Fak Tha Hospital	Uttaradit
Fort Phichaidaphak Hospital	Uttaradit
Lap Lae Hospital	Uttaradit
Nampat Hospital	Uttaradit
Phichai Hospital	Uttaradit
Tha Pla Hospital	Uttaradit
Thong Saen Khan Hospital	Uttaradit
Tron Hospital	Uttaradit
Uttaradit Hospital	Uttaradit
Bannang Sata Hospital	Yala
Betong Hospital	Yala
Health Promotion Hospital, 2th Regional Health Promotion Center	Yala
Kabang Hospital	Yala
Raman Hospital	Yala
Than To Hospital	Yala
Yaha Crown Prince Hospital	Yala
Yala Hospital	Yala
Kham Khuean Kaew Hospital	Yasothon
Kho Wang Hospital	Yasothon
Kut Chum Hospital	Yasothon
Loeng Nok Tha Crown Prince Hospital	Yasothon
Maha Chana Chai Hospital	Yasothon
Pa Tio Hospital	Yasothon
Sai Mun Hospital	Yasothon
Thai Charoen Hospital	Yasothon
Yasothon Hospital	Yasothon
Bumrungrad Hospital	Wattana
Ramkhamhaeng Hospital	Bangkapi
Thonburi Hospital	Noi
St. Louis Hospital	Sathorn
Yanhee Hospital	Andover
Mick McCormick Hospital	Chaingmai
Kasemrad Hospital Nonthaburi	Nonthaburi
Hospital Kasemrad PRACHACHUEN	Wongsawang
Phyathai 1	Bangkok
Hua Chiew Hospital	Pom Prap Sattru Phai
Hospital Kasemrad Khae	Bangkok
 SYNPHAET HOSPITAL	Khanna
Samitivej	Wattana
Bangkok hospital Nakhon pathom	Nakhon Pathom
Paolo Memorial Hospital.	Phayathai
Vejthani	Bangkapi
Bangkok hospital	Kwang
Hospital AIKCHOL	Chonburi
Phyathai 2 Hospital	Phayathai
Hospital capital	Ayutthaya
Vibhavadi Hospital	Chatuchak
Bangkok Hospital Pattaya	Banglamung
Rosa Hospital Medical Center	Samut Prakan
Friendship Memorial Hospital.	Saraburi
Vichaiyut	Phayathai
PYT3	Phasi Charoen
Over hospital Scilly	Chiang Rai
Chiang Mai Ram Hospital	Chiang Rai
SIKARIN's Hospital.	Bangkok
Hospital Doctor ( Doctor infinite ).	Surin
Hospital Nonthavej	Nonthaburi
Hospital Mot	Chom Thong
Hospital Navamin 9.	Min Buri
Bangkok 9 International Hospital.	Chom Thong
Chaophya Hospital	Noi
Central General Hospital Hill.	Bang Khen
Hospital Vichaivej International Nong	Nong
Hospital Petcharavej	Kwang
Karun Hospital Medical Thani	Klongnueng
PathumVej Hospital	Thunyaburi
Hospital Pathum	Thunyaburi
Bangkok Hospital Phuket	Phuket City
Bangkok Hatyai Hospital	Hat Yai
Hospital Piyamin	Phli
Bangpakok 3 hospital	Bang Kru
Paolo Memorial Hospital, Samut Prakan.	Samut Prakan.
Ocean City Hospital Pak Nam	Pak Nam
Hospital Vichaivej International Om	Baen
Saraburi Hospital Kasemrad	Saraburi
Thaksin Hospital	Surat Thani
Khon Kaen Ram Hospital	Khon Kaen
Bangkok Christian Hospital	Bang rak
Hospital Rajyindee	Hat Yai
Thailand Thai Nakarin Hospital	Na
Mission Hospital	Dusit
Hospital Navamin	Min Buri
Bangkok Hospital	Wang Thong Lang
Lanna Hospital	Chiang Mai
Hospitals Sri heaven	Nakhon Sawan
Mahachai Hospital	Muang
Hospital Suphamit	Suphanburi
Bangkok Hospital Chanthaburi	Chanthaburi
Rama 9 Hospital	Kwang
Mayo Hospital	Chatuchak
Kluaynamthai Hospital	Klong Toey
Rangsit General Hospital	Fatigue LUK
Samitivej Srinakarin	Park
Hospital Phuket	Phuket City
Samitivej Hospital in Bangkok	Thonburi
Hospital NakornThon	Thian
Seriruk Hospital	Min Buri
Sukhumvit Hospital	Wattana
Vibharam	Park
Piyavate	Kwang
Phyathai Sriracha Hospital	Sriracha
University Medical Hospital in Chiang Mai	Chiang Mai
Trang Hospital Doctor	Trang
Hospital Nakhon Ratchasima	Nakhon Ratchasima
Bangkok Ratchasima Hospital	Nakhon Ratchasima
St. Mary hospital	Nakhon Ratchasima
World's Hospital Medical Center.	Pak
Hospital medical Pisanu	Phitsanulok
Bangkok Hospital Rayong	Rayong City
Hospital Phetkasem 2	Phasi Charoen
Rajanagarindra Hospital Kidney Institute	Rat
Hospital Navamin.	Kum
Ocean City's grand  hospital	Samut Prakan
SamitivejSrirachaHospital	Sriracha
Bcare medical center	Bangkok
Chularat Hospital 3	Phli
Hospital Mahesak	Bang rak
Hospital Burana	Rat Burana
Hospital Bangpakok 8	Bon
Hospital Bangpakok 1	Rat Burana
Paolo Memorial Hospital, Chokchai 4.	Ladprao
Camilian Hospital	Wattana
Hospital Kasemrad Sriburin	Chiang Rai
Hospital Central Chiang Mai Memorial.	Chiang Mai
Wattana Hospital Trang 	Trang
Hospital SIKARIN Hat Yai.	Hat Yai
Hospital Central Park	Phli
Mahachai Hospital 2	Baen
Hospital Vichaivej The Hospital	Muang
Hospital Medical Vichaiyut	Phayathai
Rama 2 Hospital	Thian
Hospital แptispayya	Park
Hospital Theppanya	Chiang Mai
Arun Chai Hospital Medical	Phichit
Nakarin Hospital	Chang wat
Karun Hospital Medical Ayutthaya	Pa
Hospital Kelang City -Ram.	City Lampang Lampang
Hospital Na 1	Na
Elephant Hospital	Chiang mai
Bangkok Hospital Medical Juree	Roi Et
Vibharam - Chaiprakarn.	Tambon Tha Klang
Po Hospital	Sue
Phai Hospital	Phasi Charoen
Deja Hospital	Rat
Prachapat hospital	Rat Burana
Hospital Suksawat	Rat Burana
Hospital medical sanitation Karun 3	Bangkok
Saimai Hospital	Bangkok
The hospital Mongkutwattana.	Bangkok
Krabi Hospital, Prince International Hotel.	Krabi
Kanchanaburi Memorial Hospital.	Kanchanaburi
Chularat Hospital 11	Pakong
Chachoengsao Hospital Kasemrad	Chachoengsao
Hospital AIKCHOL 2	Chonburi
Vibharam Laem Chabang	Sriracha
Thonburi Hospital -Chumphon	Chumphon
Hospital Virat Gallery	Chumphon
Bangkok Hospital Trat	Trad
Mae Sot Hospital - Ram	Mae Sot
Hospital Etpakr	Nakhon Pathom
The hospital's mouth water	Nakhon Sawan
Hospital tiered umbrella	Nakhon Sawan
Hospital medical Ratana	Nakhon Sawan
Hospitals in Thailand	Pak
Vibharam Pak	Pak
Phatara Thonburi Hospital	All Rights Reserved
Krung Siam St Carlos Hospital Los Angeles.	Pathum Thani
Hospital capital Rojana	Pa
Hospital Suphamit Sena	Sena
Phayao Ram Hospital	Phayao
Hospital Phitsanulok	Phitsanulok
Hospital doctors Phitsanulok	Phitsanulok
Hospital Petcharat	Phetchaburi
Diamond hospital	Phetchaburi
Roi Et Hospital - thon	Roi Et
Hospital Rayong crown	Rayong City
San Camillo Hospital.	Pong
Kingdom Hospital	Muang Ratchaburi
Hospital Haripunchai Memorial.	La Poon
Loei Ram Hospital	Loei
Mr. Pracha Rak Hospital	Bo
Chularat Hospital 9	Phli
Hospital Na 5	Phli
Hospital Na 2	Samut Prakan
Hospitals Rutgers Rin.	Samut Prakan
Mahachai Hospital 3	Muang
Ekachai Hospital	Muang
Hospital Nongkhai -Wattana	Khai
Bangkok Hospital Udon	Udon Thani
Hospital North Eastern Wattana.	Udon Thani
Hospital Aekudon	Udon Thani
Ubon Royal Hospital Medicine	Ubon Ratchathani
Ubon Thonburi Hospital Care	Ubon Ratchathani
Thonburi Hospital 2	Wattana
Srivej Hospital	Chanthaburi
Bangkok Hospital Medical Center.	Chiang mai
Bangkok Hospital, Bangkok	Nakhon Pathom
Ram Hospital	Buriram
United Hospital Medical	Phichit
BNH Hospital	Bang rak
Theptarin Hospital	Klong Toey
Hospital kluaynamthai2	Na
Hospital Pattaya International Hospital.	Banglamung
Hospital President Kan.	Kanchanaburi
Vichaiyut.	Phayathai
Thian Fah Foundation Hospital	Samphanthawong Bangkok
Golden Years Nursing Home's chronic patients.	Kwang
RuamPheat chai Nat hospital	Chainat
Chaiyaphum Hospital -Ram	Chaiyaphum
Salaya Manor Nursing Home nursing chronic patients.	Buddha
The Golden Gate Hospital.	Nakhon Ratchasima
Bangkok Hospital	Hua Hin
Hospital San Paolo Hua Hin	Hua Hin
Hospital Medical International	Phitsanulok
Hospital infection - Ram	Phrae
Phrae Christian Hospital	Phrae
Mukdahan International Hospital	Mukdahan
Hospital audacious International	Yasothon
Hospital Siroros	Yala city
Bangkok Hospital Phrapradaeng 	Phra Samut Chedi
Hospital drum	city ​​Fleet
Singburi Hospital for medical help ( doctors splendid ).	Muang Sing
Medical City Hospital	Sukhothai
Thonburi Hospital - U	Suphan Buri
Vibhavadi Medical Center- Memorial Forum	Suphan Buri
Surin Hospital Doctor	Surin
 SYNPHAET PEDIATRICS HOSPITAL	Khanna
The Ratchadaphisek area ealderly  hospitals, Sr.	Chatuchak
Hospital Srivijaya	Noi
Metropolitan Hospital, Phat	Nakhon Si Thammarat
HOSPITALS Chiva	Hua Hin
Sirirat Hospital Medical Lumphoon	La Poon
Angthong Hospital medical help for two ( Doc splendid ).	Ang
Children's Hospital, Bangkok, Phitsanulok	Phitsanulok
Narayana Hospital	Lop Buri, Lop Buri
Bangkok Heart Hospital	Kwang
Hospital Khon Kaen	Khon Kaen
Chiang Mai Hospital Doctor	Chiang mai
Rangsit General Hospital, mother and children.	Fatigue LUK
Concord Hospital's ( Sierra Foundation Teg Shanghai Tung ).	Hat Yai
Hospital Piyavej switch Bowin.	Sriracha
Hospital medical Peronne	Ayutthaya
KWONG CHOW hospital	Pom Prap Sattru Phai
Newark Manor Nursing Home Sri hospital.	Wang Thong Lang
Hospital Teerawat	Kalasin
Akch hospital	The wall of Diamond City
Rachapreuk Hospital	Khon Kaen
Pattaya Memorial Hospital.	Banglamung
Rat Siam Mai Hospital	Chiang mai
Hospital Royal implementation	Trang
Bua Yai Hospital Doctor	Bua
Metropolitan Hospital Christians	Nakhon Si Thammarat
Hospital developed an infinite two	Bang
Chulalongkorn Hospital Care	Phatthalung
Petcharat hospital2	Phetchabun
Hospital Diamonds	Phetchabun
Mission Hospital Phuket	Phuket City
University Hospital International	Maha Sarakham
Dr. Harn Hospital	Yasothon
Doctors Hospital Rayong	Rayong City
Prompathya Hospital	Muang Ratchaburi
Hospital care Sakol	Sakon city
French Hospital Medical	Nong Kae
Sukhothai Hospital Paฒnewch	Sukhothai
Bangkok Hospital Samui	Koh Samui
Hospital Thailand International	Koh Samui
Hospital Samuiinternational	Koh Samui
Hospital Medical Group	Poanpisai
Hospital doctors Khai	Khai
Hospital Medical Weerapon	City of La Phu Nong Bua
Nai Mueang Hospital	Ubon Ratchathani
Hospital Wattanosoth Rd.	Kwang
Eye Ear Nose Throat Hospital	Andover
Hospital Pornchaisuree	Suphanburi
Hospital doctors Sawan	Nakhon Sawan
Pracha Rak Hospital Medical	City Si Sa Ket
Sook General Infirmary Medical Nursing Home (Ram21).	Wang Thong Lang
Eye Hospital, St. Peter	Chiang mai
Bangkok, Chiang Mai	Chiang mai
Hospital Le cosmetic appearance	Nonthaburi
Bumrungrad Hospital Centre	Lop Buri, Lop Buri
Korat Memorial Hospital.	Nakhon Ratchasima
Asoke Skin Hospital Pinklao.	Noi
Hospital Manarom	Na
Hospital Tan	Kwang
Asoke Skin Hospital	Kwang
Hospital Salaya	Buddha
Hospital Chollada	Bang
Bandon International Hospital	Koh Samui
Hospital Eiawrakษs	Thonburi
Komol Hospital	Wang Thong Lang
Rutnin Ophthalmology Hospital	Wattana
Chaiyaphum Hospital 2	Chaiyaphum
Hospital Chong	Pak Chong
Hospital medical Sothon304	Sri Maha Bodhi
Hospital Srivijaya Surat	Surat Thani
Noonan's hospital	Sarn
The nursing home patients with chronic S. 3	Chatuchak
Bangkok Cancer Sanatorium	Phayathai
CKN nursing home	Bangkok
Hospital medicine Bangkok International	Kwang
A hospital doctor	Chumphon
HOSPITALS McCain	Chianh mai
HOSPITALS Wattanavej	Pong
Putnam hospitals and medical	neem
HOSPITALS Tagore, Subhash Bal Nursery Nursing Home.	Wang Thong Lang
Harbour hospital	Maka
HOSPITALS Van Sant Hills Ward.	City Lampang Lampang
Lakes Medical clinic	Chonburi
MEDICAL Medical Phimai Medical.	Phimai
The elderly hospital 2, Sr.	Chatuchak
Nursing Home Ratchada -Tha	Thonburi
Hospital medicine physician Chongkae	Takli
Hospital services Thong thao	Muang Ratchaburi
HOSPITALS Chularat 5	Phli
Chularat hospital Suvarnabhumi	Phli
Magic city hospital Arkom clinic	Sukhothai
Chipper Rosa hospital doctor	Doem Bang Nang Buat
Sutthisarn hospital	rouge
Ruamphat Thungsong hospital	Krabi
Kwai River Christian Hospital	Sagklaburi
Thungsong Ruamphat hospital	Thung Song
Imperial Nursing Home	Prachinburi
MEDICAL Medical University	hours
Hospital medical doctor magic	Sukhothai
HOSPITALS Jetanin	Pathumwan
meridian medical Hospital	starring
Only psychiatric hospital medicine Mind made.	Nonthaburi
Medical City hospital Pathum	Pathum Thani
108 Hospital	Chom Thong
Bangpakok 9 general medicine clinic.	Chom Thong
HOSPITALS Rama 3	Bang
MEDICAL Medical Bangpakok 2.	Bon
Phaet hospital	Bang
HOSPITALS diseases and general medicine.	Chiang mai
Private hospitals downtown	Trang
MEDICAL Medical Palace	Takli
Hospital medicine medical Nonthaburi	Nonthaburi
Visual hospital medicine medical	Phichit
Sri cushy hospital	Phichit
Clinics, radiotherapy and nuclear medicine.	Phitsanulok
Siri Hospital	Phetchaburi
Medical City hospital quagmire	Sak
Hospital services	Implementation services
HOSPITALS Ocean City Pu	hours
HOSPITALS MEDICAL Jesadavat	Muang
Supreme medicine at the hospital	Kaengkhoi
Walled medical clinic	Wiang Sa
MEDICAL Medical Chaikasem	Udon Thani
Hospital. BBC. Nursinghome	Wattana
Medical Vechakran	Sriracha
Immortality medical Hospital	Sriracha
Hospital patients with chronic Wellness Care.	Sai
Ananda's hospital - Medical Ranong.	Ranong
Nursing, occupational medicine specialist inter-made.	Phasi Charoen
